date,region,course,off,race_name,type,class,pattern,rating_band,age_band,sex_rest,dist,dist_f,dist_m,going,ran,num,pos,draw,ovr_btn,btn,horse,age,sex,lbs,hg,time,secs,dec,jockey,trainer,prize,or,rpr,sire,dam,damsire,owner,comment
2014-11-11,GB,Lingfield (AW),4:00,SIS Mares Intermediate Open National Hunt Flat Race,NH Flat,Class 6,,,4-6yo,M,2m,16f,3219,Standard,7,7,1,,0,0,Trigger Point (GB),4,F,152,,3:32.60,212.60,3.25,Tom OBrien,Hughie Morrison,1559.52,–,93,Double Trigger (IRE),Flirtatious GB,Generous,Mrs M D W Morrison,Well in touch in midfield - effort over 1f out - ridden to lead 1f out - held on well final furlong - ridden out(op 3/1 tchd 2/1)
2014-11-11,GB,Lingfield (AW),4:00,SIS Mares Intermediate Open National Hunt Flat Race,NH Flat,Class 6,,,4-6yo,M,2m,16f,3219,Standard,7,1,2,,0.2,0.2,Jambul Tree (GB),4,F,152,h,3:32.64,212.64,9.00,Daryl Jacob,Robert Walford,457.92,–,93,Apple Tree (FR),Jambles GB,Muhtarram,Mrs Susan Brimble,Held up in touch in rear - effort over 1f out - every chance 1f out - kept on well under pressure - always just held(op 12/1)
2014-11-11,GB,Lingfield (AW),4:00,SIS Mares Intermediate Open National Hunt Flat Race,NH Flat,Class 6,,,4-6yo,M,2m,16f,3219,Standard,7,4,3,,2,1.75,Native Princess (GB),4,F,152,,3:33.00,213.00,21.00,Joshua Moore,Renee Robeson,228.96,–,91,Tobougg (IRE),Forest Pride (IRE),Be My Native,The Oakley Partnership,Well in touch in midfield - ridden and effort 2f out - chasing leaders and not clear run 1f out - switched right inside final furlong - kept on(op 25/1)
2014-11-11,GB,Lingfield (AW),4:00,SIS Mares Intermediate Open National Hunt Flat Race,NH Flat,Class 6,,,4-6yo,M,2m,16f,3219,Standard,7,6,4,,4,2,Silver Songstress (GB),4,F,145,,3:33.40,213.40,13.00,Nathan Moscrop,John Weymes,114.48,–,89,Singspiel (IRE),Composing (IRE),Noverre,Thoroughbred Partners Highmoor Racing,Led until halfway - stayed upsides leader until ridden to lead again 2f out - headed 1f out - one pace final 100yds(tchd 10/1)
2014-11-11,GB,Lingfield (AW),4:00,SIS Mares Intermediate Open National Hunt Flat Race,NH Flat,Class 6,,,4-6yo,M,2m,16f,3219,Standard,7,5,5,,9,5,Pas De Chapeau (IRE),5,M,152,,3:34.40,214.40,4.00,Jamie Moore,Paul W Flynn,,–,84,Milan (GB),Derravaragh Native (IRE),Be My Native,Big Hat No Cattle Syndicate,Pressed leader until led halfway - ridden and headed 2 out - no extra and beaten over 1f out - weakened final furlong(op 5/2 tchd 7/2)
2014-11-11,GB,Lingfield (AW),4:00,SIS Mares Intermediate Open National Hunt Flat Race,NH Flat,Class 6,,,4-6yo,M,2m,16f,3219,Standard,7,2,6,,13.5,4.5,Kildas Rock (GB),5,M,152,,3:35.30,215.30,3.25,Ryan Mahon,Harry Fry,,–,80,Rocamadour (GB),St Kilda GB,Past Glories,Harry Fry Racing Club,Chased leaders until ridden and lost place over 2f out - weakened over 1f out(op 2/1 tchd 5/2)
2014-11-11,GB,Lingfield (AW),4:00,SIS Mares Intermediate Open National Hunt Flat Race,NH Flat,Class 6,,,4-6yo,M,2m,16f,3219,Standard,7,3,7,,34.5,21,Looks Can Kill (GB),4,F,152,,3:39.50,219.50,15.00,Richie McLernon,Hugo Froud,,–,59,Dylan Thomas (IRE),Looker GB,Barathea,Invictus,Took keen hold - held up in last pair - ridden over 3f out - soon beaten - lost touch 2f out(op 16/1)
2014-11-25,GB,Lingfield (AW),3:30,Vijay Sicka Memorial Cup Junior Standard Open National Hunt Flat Race,NH Flat,Class 6,,,3yo,,1m5f,13f,2615,Standard,9,6,1,,0,0,Prince Of Poets (GB),3,G,152,,2:54.10,174.10,6.00,Sam Twiston-Davies,Joseph Tuite,1559.52,–,95,Byron (GB),Princess Maud (USA),Irish River,Joseph Tuite,Made all - kicked for home just over 2f out - pushed out firmly final furlong - held on(op 7/2 tchd 3/1)
2014-11-25,GB,Lingfield (AW),3:30,Vijay Sicka Memorial Cup Junior Standard Open National Hunt Flat Race,NH Flat,Class 6,,,3yo,,1m5f,13f,2615,Standard,9,2,2,,.75,.75,Dracos Code (GB),3,G,152,,2:54.25,174.25,3.00,Jamie Moore,Gary Moore,457.92,–,94,Galileo (IRE),Lady Karr GB,Mark Of Esteem,The Golf Partnership,Held up in midfeld - outpaced 2f out - progress to take 3rd over 1f out - driven and ran on to take 2nd last strides - closing rapidly near finish(op 3/1)
2014-11-25,GB,Lingfield (AW),3:30,Vijay Sicka Memorial Cup Junior Standard Open National Hunt Flat Race,NH Flat,Class 6,,,3yo,,1m5f,13f,2615,Standard,9,8,3,,1,0.3,Symphony Of Kings (GB),3,G,152,,2:54.30,174.30,26.00,Lee Edwards,Tony Carroll,228.96,–,94,Lucarno (USA),Flying Lion GB,Hunting Lion,T R Pearson,Tracked leading pair - went 2nd over 2f out - ridden over 1f out - closed final furlong - no extra last 50yds and lost 2nd near finish(op 16/1)
2014-11-25,GB,Lingfield (AW),3:30,Vijay Sicka Memorial Cup Junior Standard Open National Hunt Flat Race,NH Flat,Class 6,,,3yo,,1m5f,13f,2615,Standard,9,7,4,,2.25,1.25,Silver Mountain (GB),3,G,152,,2:54.55,174.55,9.00,Richard Johnson,J R Jenkins,114.48,–,92,Sir Percy (GB),Pearl Bright (FR),Kaldoun,Ms Aurelija Juskaite,Held up in last - progress on wide outside bend 2f out - took 4th over 1f out - stayed on but unable to challenge(op 14/1)
2014-11-25,GB,Lingfield (AW),3:30,Vijay Sicka Memorial Cup Junior Standard Open National Hunt Flat Race,NH Flat,Class 6,,,3yo,,1m5f,13f,2615,Standard,9,10,5,,8.25,6,Storm Run (IRE),3,F,145,,2:55.75,175.75,11.00,Leighton Aspell,Roger Teal,,–,77,Hurricane Run (IRE),Jabroot (IRE),Alhaarth,The Thirty Acre Racing Partnership,Tracked leaders - outpaced 2f out - pushed along and no impression after(tchd 12/1)
2014-11-25,GB,Lingfield (AW),3:30,Vijay Sicka Memorial Cup Junior Standard Open National Hunt Flat Race,NH Flat,Class 6,,,3yo,,1m5f,13f,2615,Standard,9,5,6,,9,.75,King Louis (GB),3,G,152,,2:55.90,175.90,4.00,Gerard Tumelty,Alan King,,–,83,Champs Elysees (GB),Starparty (USA),Cozzene,Mr Mrs R Scott,Ran green - in touch - ridden 4f out - outpaced 2f out - no danger after(op 9/4)
2014-11-25,GB,Lingfield (AW),3:30,Vijay Sicka Memorial Cup Junior Standard Open National Hunt Flat Race,NH Flat,Class 6,,,3yo,,1m5f,13f,2615,Standard,9,4,7,,9.25,0.2,Kalaskadesemilley (GB),3,G,152,,2:55.99,175.99,21.00,Adam Wedge,Kevin Morgan,,–,83,Myboycharlie (IRE),Congressional (IRE),Grand Lodge,Mrs Catherine E Peck,Held up towards rear - dropped to last 3f out - outpaced 2f out - shaken up and no progress after(op 25/1)
2014-11-25,GB,Lingfield (AW),3:30,Vijay Sicka Memorial Cup Junior Standard Open National Hunt Flat Race,NH Flat,Class 6,,,3yo,,1m5f,13f,2615,Standard,9,9,8,,10.5,1.25,Overdo (GB),3,F,138,,2:56.20,176.20,21.00,Kevin Jones,Seamus Mullins,,–,74,Overbury (IRE),Shuil Do (IRE),Be My Native,Mrs David Woodd,Held up in rear - outpaced 2f out - no chance when not much room and stumbled over 1f out(op 16/1)
2014-11-25,GB,Lingfield (AW),3:30,Vijay Sicka Memorial Cup Junior Standard Open National Hunt Flat Race,NH Flat,Class 6,,,3yo,,1m5f,13f,2615,Standard,9,3,9,,11.25,.75,Duke Of Hanover (GB),3,G,152,,2:56.35,176.35,8.00,Tom OBrien,Alison Hutchinson,,–,80,Duke Of Marmalade (IRE),Caro George (USA),Distant View,Four Winds Racing Partnership,Tracked winner - shaken up and lost 2nd over 2f out - steadily weakened(op 12/1)
