date,region,course,off,race_name,type,class,pattern,rating_band,age_band,sex_rest,dist,dist_f,dist_m,going,ran,num,pos,draw,ovr_btn,btn,horse,age,sex,lbs,hg,time,secs,dec,jockey,trainer,prize,or,rpr,sire,dam,damsire,owner,comment
2014-05-09,GB,Lingfield,2:05,Ladbrokes Classified Stakes,Flat,Class 5,,0-75,3yo,,1m2f,10f,2012,Good,5,2,1,6,0,0,Libran (IRE),3,G,126,,2:9.65,129.65,3.25,Ben Curtis,Alan Swinbank,3363.88,72,83,Lawman (FR),True Crystal (IRE),Sadlers Wells,Mrs J Porter,Held up in 4th - headway to lead 2f out - driven out(tchd 2/1)
2014-05-09,GB,Lingfield,2:05,Ladbrokes Classified Stakes,Flat,Class 5,,0-75,3yo,,1m2f,10f,2012,Good,5,4,2,3,1.25,1.25,Maahir (GB),3,C,126,,2:9.90,129.90,3.00,Luke Morris,Marco Botti,1001,74,80,Cape Cross (IRE),Trick Or Treat GB,Lomitas,Sheikh Mohammed Bin Khalifa Al Maktoum,Chased leader - ridden to challenge 2f out - kept on under pressure final furlong(op 9/4 tchd 7/4)
2014-05-09,GB,Lingfield,2:05,Ladbrokes Classified Stakes,Flat,Class 5,,0-75,3yo,,1m2f,10f,2012,Good,5,1,3,1,3.75,2.5,Dance Bid (GB),3,F,126,,2:10.40,130.40,17.00,Mickael Barzalona,Clive Brittain,500.24,75,75,Authorized (IRE),Dancing Fire (USA),Dayjur,Saeed Manana,Took keen hold in 5th - ridden over 2f out - stayed on from over 1f out
2014-05-09,GB,Lingfield,2:05,Ladbrokes Classified Stakes,Flat,Class 5,,0-75,3yo,,1m2f,10f,2012,Good,5,6,4,5,5.75,2,Shimba Hills (GB),3,G,123,,2:10.80,130.80,3.75,William Twiston-Davies,Mick Channon,250.12,75,71,Sixties Icon (GB),Search Party GB,Rainbow Quest,Dave And Gill Hedley,Led until 2f out - weakened just over 1f out(op 5/2 tchd 3/1)
2014-05-09,GB,Lingfield,2:05,Ladbrokes Classified Stakes,Flat,Class 5,,0-75,3yo,,1m2f,10f,2012,Good,5,3,5,2,6.5,.75,Lucky Visione (GB),3,G,126,h,2:10.95,130.95,9.00,Adam Kirby,Gay Kelleway,,74,70,Lucky Story (USA),Maid For Running GB,Namaqualand,Hodson Tyler Bartram Mclean,Broke well - steadied back to 3rd - effort and hard ridden 2f out - soon beaten(op 7/1)
2014-05-09,GB,Lingfield,4:10,Ladbrokes Handicap (Lady Amateur Riders),Flat,Class 5,,0-75,4yo+,,7f,7f,1408,Good,8,5,1,6,0,0,Another Try (IRE),9,G,139,,1:25.60,85.60,3.50,Miss Serena Brotherton,Alan Jarvis,3300.42,66,74,Spinning World (USA),Mad Annie (USA),Anabaa,The Twyford Partnership,Took keen hold to post - with leader - led 3f out - ridden out(op 3/1)
2014-05-09,GB,Lingfield,4:10,Ladbrokes Handicap (Lady Amateur Riders),Flat,Class 5,,0-75,4yo+,,7f,7f,1408,Good,8,1,2,7,2.25,2.25,Jontleman (IRE),4,G,147,,1:26.05,86.05,5.00,Miss E J Jones,Mick Channon,1023.62,74,76,Whipper (USA),Gandia (IRE),Danehill,Paul Corbett,Held up in 5th - switched left and effort over 1f out - ridden to challenge entering final furlong - unable to quicken
2014-05-09,GB,Lingfield,4:10,Ladbrokes Handicap (Lady Amateur Riders),Flat,Class 5,,0-75,4yo+,,7f,7f,1408,Good,8,8,3,8,2.5,0.3,Hernando Torres (GB),6,G,129,p,1:26.10,86.10,4.50,Mrs R Wilson,Michael Easterby,511.54,61,62,Iffraaj (GB),Espana GB,Hernando,C M Wilson,Held up in 6th - headway and not clear run over 1f out - switched left - ran on(op 6/1)
2014-05-09,GB,Lingfield,4:10,Ladbrokes Handicap (Lady Amateur Riders),Flat,Class 5,,0-75,4yo+,,7f,7f,1408,Good,8,2,4,4,4.25,1.75,Victors Bet (SPA),5,G,140,t,1:26.45,86.45,17.00,Miss Ella Smith,Ralph J Smith,256.04,72,69,Leadership (GB),Marmaria (SPA),Limpid,Homecroft Wealth Jayne Smith,Held up in 4th - shaken up and lost place 2f out - going on again at finish(op 10/1)
2014-05-09,GB,Lingfield,4:10,Ladbrokes Handicap (Lady Amateur Riders),Flat,Class 5,,0-75,4yo+,,7f,7f,1408,Good,8,9,5,2,4.5,0.1,Shifting Star (IRE),9,G,134,tb,1:26.52,86.52,5.00,Miss Alyson Deniel,John Bridger,,61,58,Night Shift (USA),Ahshado GB,Bin Ajwaad,Night Shadow Syndicate,Slight lead until 3f out - with leaders until weakened final furlong(op 11/4)
